,Months,State/UnionTerritory,Confirmed
0,2020-01,Kerala,2
1,2020-02,Kerala,86
2,2020-03,Andaman and Nicobar Islands,36
3,2020-03,Andhra Pradesh,163
4,2020-03,Bihar,73
5,2020-03,Chandigarh,79
6,2020-03,Chhattisgarh,47
7,2020-03,Delhi,596
8,2020-03,Goa,24
9,2020-03,Gujarat,461
10,2020-03,Haryana,486
11,2020-03,Himachal Pradesh,30
12,2020-03,Jammu and Kashmir,228
13,2020-03,Karnataka,647
14,2020-03,Kerala,1690
15,2020-03,Ladakh,201
16,2020-03,Madhya Pradesh,229
17,2020-03,Maharashtra,1747
18,2020-03,Manipur,8
19,2020-03,Mizoram,7
20,2020-03,Odisha,32
21,2020-03,Puducherry,14
22,2020-03,Punjab,348
23,2020-03,Rajasthan,619
24,2020-03,Tamil Nadu,354
25,2020-03,Telengana,559
26,2020-03,Unassigned,84
27,2020-03,Uttar Pradesh,727
28,2020-03,Uttarakhand,61
29,2020-03,West Bengal,137
30,2020-04,Andaman and Nicobar Islands,485
31,2020-04,Andhra Pradesh,18113
32,2020-04,Arunachal Pradesh,28
33,2020-04,Assam,901
34,2020-04,Bihar,3537
35,2020-04,Chandigarh,735
36,2020-04,Chhattisgarh,777
37,2020-04,Delhi,46577
38,2020-04,Goa,205
39,2020-04,Gujarat,40555
40,2020-04,Haryana,5756
41,2020-04,Himachal Pradesh,855
42,2020-04,Jammu and Kashmir,8665
43,2020-04,Jharkhand,1036
44,2020-04,Karnataka,9382
45,2020-04,Kerala,11496
46,2020-04,Ladakh,503
47,2020-04,Madhya Pradesh,32166
48,2020-04,Maharashtra,107038
49,2020-04,Manipur,58
50,2020-04,Meghalaya,176
51,2020-04,Mizoram,30
52,2020-04,Nagaland,2
53,2020-04,Odisha,1808
54,2020-04,Puducherry,190
55,2020-04,Punjab,5516
56,2020-04,Rajasthan,33262
57,2020-04,Tamil Nadu,35186
58,2020-04,Telengana,19419
59,2020-04,Tripura,44
60,2020-04,Unassigned,77
61,2020-04,Uttar Pradesh,27947
62,2020-04,Uttarakhand,1093
63,2020-04,West Bengal,8824
64,2020-05,Andaman and Nicobar Islands,1023
65,2020-05,Andhra Pradesh,72785
66,2020-05,Arunachal Pradesh,41
67,2020-05,Assam,7697
68,2020-05,Bihar,45653
69,2020-05,Cases being reassigned to states,37520
70,2020-05,Chandigarh,5745
71,2020-05,Chhattisgarh,4408
72,2020-05,Dadra and Nagar Haveli and Daman and Diu,34
73,2020-05,Delhi,294836
74,2020-05,Goa,944
75,2020-05,Gujarat,319907
76,2020-05,Haryana,27870
77,2020-05,Himachal Pradesh,3614
78,2020-05,Jammu and Kashmir,37272
79,2020-05,Jharkhand,7538
80,2020-05,Karnataka,41184
81,2020-05,Kerala,20734
82,2020-05,Ladakh,1413
83,2020-05,Madhya Pradesh,150770
84,2020-05,Maharashtra,1014118
85,2020-05,Manipur,499
86,2020-05,Meghalaya,445
87,2020-05,Mizoram,31
88,2020-05,Nagaland,90
89,2020-05,Odisha,24096
90,2020-05,Puducherry,638
91,2020-05,Punjab,54408
92,2020-05,Rajasthan,158283
93,2020-05,Sikkim,8
94,2020-05,Tamil Nadu,327826
95,2020-05,Telengana,47230
96,2020-05,Tripura,4346
97,2020-05,Uttar Pradesh,139492
98,2020-05,Uttarakhand,5594
99,2020-05,West Bengal,80142
100,2020-06,Andaman and Nicobar Islands,1352
101,2020-06,Andhra Pradesh,216404
102,2020-06,Arunachal Pradesh,2826
103,2020-06,Assam,123711
104,2020-06,Bihar,195475
105,2020-06,Cases being reassigned to states,240648
106,2020-06,Chandigarh,10781
107,2020-06,Chhattisgarh,49311
108,2020-06,Dadra and Nagar Haveli and Daman and Diu,1904
109,2020-06,Daman & Diu,2
110,2020-06,Delhi,1392113
111,2020-06,Goa,17368
112,2020-06,Gujarat,719385
113,2020-06,Haryana,233245
114,2020-06,Himachal Pradesh,17248
115,2020-06,Jammu and Kashmir,149305
116,2020-06,Jharkhand,48964
117,2020-06,Karnataka,225375
118,2020-06,Kerala,78399
119,2020-06,Ladakh,14886
120,2020-06,Madhya Pradesh,323029
121,2020-06,Maharashtra,3354374
122,2020-06,Manipur,16362
123,2020-06,Meghalaya,1226
124,2020-06,Mizoram,2833
125,2020-06,Nagaland,5856
126,2020-06,Odisha,123559
127,2020-06,Puducherry,7731
128,2020-06,Punjab,103827
129,2020-06,Rajasthan,389238
130,2020-06,Sikkim,1436
131,2020-06,Tamil Nadu,1440113
132,2020-06,Telengana,194444
133,2020-06,Tripura,29628
134,2020-06,Uttar Pradesh,429583
135,2020-06,Uttarakhand,56655
136,2020-06,West Bengal,339778
137,2020-07,Andaman and Nicobar Islands,6372
138,2020-07,Andhra Pradesh,1520146
139,2020-07,Arunachal Pradesh,19775
140,2020-07,Assam,639191
141,2020-07,Bihar,726921
142,2020-07,Cases being reassigned to states,67397
143,2020-07,Chandigarh,20413
144,2020-07,Chhattisgarh,155442
145,2020-07,Dadra and Nagar Haveli and Daman and Diu,17784
146,2020-07,Delhi,3560269
147,2020-07,Goa,98021
148,2020-07,Gujarat,1400765
149,2020-07,Haryana,734204
150,2020-07,Himachal Pradesh,46224
151,2020-07,Jammu and Kashmir,390948
152,2020-07,Jharkhand,158282
153,2020-07,Karnataka,1705708
154,2020-07,Kerala,345425
155,2020-07,Ladakh,35270
156,2020-07,Madhya Pradesh,640411
157,2020-07,Maharashtra,8774499
158,2020-07,Manipur,54871
159,2020-07,Meghalaya,11093
160,2020-07,Mizoram,8217
161,2020-07,Nagaland,28526
162,2020-07,Odisha,499757
163,2020-07,Puducherry,53921
164,2020-07,Punjab,290423
165,2020-07,Rajasthan,848812
166,2020-07,Sikkim,8657
167,2020-07,Tamil Nadu,4863048
168,2020-07,Telengana,1205706
169,2020-07,Tripura,80944
170,2020-07,Uttar Pradesh,1396403
171,2020-07,Uttarakhand,133904
172,2020-07,West Bengal,1178752
173,2020-08,Andaman and Nicobar Islands,63866
174,2020-08,Andhra Pradesh,8700021
175,2020-08,Arunachal Pradesh,82912
176,2020-08,Assam,2281592
177,2020-08,Bihar,3003495
178,2020-08,Chandigarh,68226
179,2020-08,Chhattisgarh,513726
180,2020-08,Dadra and Nagar Haveli and Daman and Diu,55535
181,2020-08,Delhi,4724139
182,2020-08,Goa,345383
183,2020-08,Gujarat,2410139
184,2020-08,Haryana,1469141
185,2020-08,Himachal Pradesh,126203
186,2020-08,Jammu and Kashmir,876217
187,2020-08,Jharkhand,719086
188,2020-08,Karnataka,6889574
189,2020-08,Kerala,1399347
190,2020-08,Ladakh,60559
191,2020-08,Madhya Pradesh,1407495
192,2020-08,Maharashtra,18227851
193,2020-08,Manipur,135066
194,2020-08,Meghalaya,44425
195,2020-08,Mizoram,23052
196,2020-08,Nagaland,97243
197,2020-08,Odisha,1886608
198,2020-08,Puducherry,242151
199,2020-08,Punjab,991260
200,2020-08,Rajasthan,1870371
201,2020-08,Sikkim,34496
202,2020-08,Tamil Nadu,10309676
203,2020-08,Telengana,2855205
204,2020-08,Tripura,233875
205,2020-08,Uttar Pradesh,4685850
